,address,categories,conditions,duties,employment,experience,name,requirements,salary,url
107,ст.м. Нагорная,"IT, Интернет, связь, телеком, Менеджер по продажам","- Мы предоставим ресурсы для успешной работы: участие в конференциях, выставках и интересных профильных событиях. Если потребуется получить больше знаний - оплатим часть стоимости обучения.- Мы привыкли работать как все: с 9 до 18.- Достойно оплачиваем целеустремленность менеджеров по продажам. Не ставим потолков и ограничений.- Заботимся о сотрудниках и оплачиваем проезд.- Мы ценим время и поэтому разместили офис рядом с метро.","- Работа заключается в ведении полного цикла продаж.- Взаимодействие как с существующими клиентами нашей компании, так и с новыми. Мы уверены, что вы уже отлично умеете это делать!",,полная занятость,Менеджер по продажам IT-оборудования,- Если вы в курсе последних трендов в сфере it-решений – мы точно найдем общий язык!,50000₽,https://www.superjob.ru/vakansii/menedzher-po-prodazham-it-oborudovaniya-31680389.html
108,Санкт-Петербург,"Специалист IT, IT, Интернет, связь, телеком","Отдельный кабинет, оборудованный техникой, Интернет. Наличие горячего питания в школьной столовой. Место работы: Санкт-Петербург, Курортный район. Жилье не предоставляется.","Эксплуатация и обслуживание сервера, оборудования и программного обеспечения, установленного на компьютерах, работа с базой ""ПараГраф"" и др.",полная занятость,опыт работы от 1 года,"Системный администратор, IT-специалист","Опытный пользователь ПК, среднее специальное или высшее образование• Среднее специальное образование",25000—30000₽,https://www.superjob.ru/vakansii/sistemnyj-administrator-27623983.html
109,Севастополь,"Продажи, Менеджер по продажам","Место работы - г. Москва, Подольское шоссе (метро Тульская), официальное оформление, компенсация транспортных расходов и мобильной связи, оклад-30 тыс. руб.+% от продаж (до 80 тыс. руб.).","Консультирование, демонстрация и продажа ИТ-продуктов (разработка сайтов, продвижение в соцсетях), планирование, анализ рынка, выезды к клиентам.",полная занятость,опыт работы от 1 года,Менеджер по продажам ИТ-продуктов,"Высшее образование, уверенный пользователь ПК, желательно знание Битрикс24, навыки продаж, опыт работы в продажах от 1 года, опыт ведения переговоров.• Высшее образование",50000—80000₽,https://www.superjob.ru/vakansii/menedzher-po-prodazham-it-produktov-31622677.html
110,"Иваново, ул. Ташкентская, д. 104А","IT, Интернет, связь, телеком, Инженер",,"Обеспечение бесперебойного функционирования поддерживаемых информационных систем;Планирование и выполнение мероприятий по защите информации, включающей в себя сведения конфиденциального характера;Обеспечение своевременного резервного копирования, контроля доступности баз данных и восстановления данных и иной информации;Установка, настройка, техническое сопровождение и обслуживание общесистемного и прикладного программного обеспечения, оборудования, технических средств;иные обязанности в соответствии с должностной инструкцией.",,полная занятость,Инженер IT-отдела,"Знание правила формирования и использования баз данныхЗнание законодательства РФ, регламентирующее действия по использованию усиленной квалифицированной электронной подписиЗнание законодательных и иные нормативных правовых актов, регламентирующих обеспечение информационной безопасности и защиту персональных данных в автоматизированных системах• Высшее образование",11300₽,https://www.superjob.ru/vakansii/inzhener-it-otdela-31456782.html
111,"Санкт-Петербург, ул. Атаманская, д. 3/6","Продажи, Менеджер по работе с клиентами",• Работа в офисе (график обсуждается на собеседовании)• Бесплатное питание в офисе• Сдельная зарплата (оклад + % с продаж),"• Активный поиск клиентов (исходящие звонки, отправка КП, организация встреч)Мы не ограничиваем рост вашей зарплаты, при этом для нас важно, чтобы сотруднику была интересна сфера деятельности компании (ит-аутсосринг), чтобы было видение по возможным направлениям развития.",полная занятость,опыт работы от 1 года,Менеджер по работе с клиентами (IT),• Грамотная речь• Коммуникативные навыки• Активность• Стрессоустойчивость• Нацеленность на результат• Желателен опыт продаж в сфере IT (понимание сферы деятельности ИТ-аутсорсинга)• Высшее образование,10000₽,https://www.superjob.ru/vakansii/menedzher-po-rabote-s-klientami-28573380.html
112,Братск,"Сырье, Специалист IT","• гарантированная своевременная заработная плата;• оформление в штат компании в соответствии с ТК РФ (отпуск, больничный лист);• дополнительная мотивация: бонусы по итогам годовой оценки Performance management, премии за стаж работы в компании и пр.;• возможность карьерного роста;• развитая корпоративная культура: дополнительный день отпуска по случаю Дня рождения, подарки по случаю рождения детей; корпоративные конкурсы и мероприятия для сотрудников и их детей; благотворительные проекты внутри компании, направленные на оказание помощи сотрудникам и членам их семей, попавшим в сложную жизненную ситуацию и пр.","• полное сопровождение и обеспечение бесперебойной работы объекта по линии IT;• закупка оборудования и расходных материалов;• блочный и мелкий ремонт, обслуживание компьютерной и телефонной сетей;• сборка и текущий блочный ремонт серверов и рабочих станций;• поддержание в актуальном состоянии исполнительной документации по IT системам;• обеспечение корректного учета IT оборудования.",полная занятость,опыт работы не требуется,Специалист IT,"• образование не ниже среднего профессионального;• администрирование: MS Windows (2003,2008, XP)/MS Office/1С 8.1/MS SQL (поддержка)/Active Directory/MS Exchange;• опыт прокладки сетей, настройки сетевого оборудования;• опыт настройки и обслуживания АТС Panasonic;• опыт ремонта и обслуживания ч/б лазерных/струйных принтеров;• опыт управления резервным копированием данных;• опыт установки и поддержки антивирусного ПО.• Среднее специальное образование",24000₽,https://www.superjob.ru/vakansii/specialist-it-31661372.html
113,"поселок Шушары, 1 Бадаевский проезд, д. 5 А","Кладовщик, Транспорт, логистика, ВЭД","График работы: 5/2 с 9:30 до 18:00Адрес: п. Шушары, 1-й Бадаевский проезд з\п 38000 рублей доналогообложения, выплачивается на банковскую карточку два раза вмесяц. Оформление по ТК РФ, соцпакет, стабильная з/п, бесплатное питание.","Внутренний учет it-оборудования (компьютеры, оргтехника, торгово-электронное оборудование, комплектующие) по компании. Прием, хранение, заведение в базу (1С), отпуск оборудования, инвентаризации.",полная занятость,опыт работы от 1 года,Кладовщик IT отдела,"Знание программы 1С, опыт работы кладовщиком с компьютерами или оргтехникой от полугода.• Среднее специальное образование",33000—38000₽,https://www.superjob.ru/vakansii/kladovschik-it-otdela-28885007.html
114,Москва,"Региональный менеджер, IT, Интернет, связь, телеком","Работа в управляющей компании ГК «СНС»;Офис - м. Выставочная/Деловой центр;Оформление согласно ТК РФ;График работы: 5/2, 09:00 – 18:00.","Решение технических, административных и организационных задач на выделенном ответственном участке (до 10 удаленных филиалов компании);Бюджетирование и контроль исполнения бюджета;Учет оборудования/комплектующих – перемещение, ремонты, закупки;Постановка задач подчиненным, контроль их исполнения (в подчинении до 10 человек).",полная занятость,опыт работы от 1 года,Региональный ИТ-менеджер,"Оконченное высшее образование;Опыт работы в IT-сфере от 2-х лет;Практический опыт управления IT-персоналом от 1 года;Знание серверного ПО Windows (Server 2003, Exchange, Citrix);Опыт внедрения и эксплуатации распределенных сетей, БД, систем мобильной торговли, и т.д.;Хорошее знание ""железа"", орг. техники, сетевого оборудования, офисных мини-АТС (IP телефония: настройка, программирование), и т.д.;Знание методологии ITIL и наличие сертификата MCP желательно;Навыки управления коллективом от 5 чел;Готовность к краткосрочным командировкам по России.• Высшее образование",82000₽,https://www.superjob.ru/vakansii/regionalnyj-it-menedzher-31552766.html
115,Москва,"Специалист IT, IT, Интернет, связь, телеком",Пн-пт с 09-18Пт до 17ТК РФ.,Детская оптово-розничная компания ищет в свою команду администратора интернет- магазина.Цели: запустить и доинтегрировать интернет-магазин на битриксе и 1С.Настроить нам 1С Торговлю в офисе под наши конкретные задачи.Настроить все карточки товаров для интернет-магазина.Добавлять новые. Автоматизировать этот процесс.Связываться с поставщиками для добавления новых марок на сайте.Автоматизировать обновление остатков на сайте.Выполнять функции системного администратора.Работа в офисе!,полная занятость,опыт работы от 3 лет,Контент-менеджер / ИТ-специалист / Системный администратор,"Что нужно для того чтобы работать в нашей команде: быть опытным пользователем ПК, быть очень опытным пользователем 1с. Желательно знание crm, опыт работы системным администратором, огромное желание работать и развиваться, не стоять на месте., стрессоустойчивость, способность работы в режиме многозадачность, способность работать в коллективе.со знаниями ИТ",40000₽,https://www.superjob.ru/vakansii/kontent-menedzher-31641456.html
116,Санкт-Петербург,"Специалист IT, IT, Интернет, связь, телеком","Режим работы: пн - пт, с 09.00 до 18.00Оформление по ТК РФ","Помощник системного администратора. Обеспечение бесперебойной работы компьютерной техники, серверов, локальной сети. Установка необходимого программного обеспечения, отслеживание текущего состояния компьютерной техники, серверов, локальной сети. Осуществление необходимой профилактики, текущего ремонта. Монтаж ЛВС.",полная занятость,опыт работы от 1 года,Ведущий специалист ИТ,"Высшее техническое образование. Опыт работы. Знание технических характеристик, назначения, режима работы, конструктивных особенностей, правил технической эксплуатации оборудования локальных вычислительных сетей, оргтехники, серверов и персональных компьютеров.• Высшее образование",30000₽,https://www.superjob.ru/vakansii/veduschij-specialist-it-29639299.html
117,Уфа,"Специалист IT, IT, Интернет, связь, телеком",Официальное трудоустройство по ТК РФОфис в г. Уфа.,"1. Доработка типовых \нетиповых (Логистика) программных модулей конфигураций 8.1, 8.2, 8.3 (от мелких отчетов\обработок до новых модулей, разработка\доработка обменов и т.д.), консультирование и обучение пользователей, администрирование баз данных. Поддержка типовых конфигураций 1С 8 Предприятие, настройка и поддержание серверного обеспечения.Знание программ Primavera, Microsoft Project/Организовывать выполнение работ по техническому обслуживанию компьютерного оборудования и копировально-множительной техники Компании в установленном порядке.- Выполнять работы по модернизации компьютерного оборудования в установленном порядке.- Производить выборочный контроль за соблюдением правил эксплуатации пользователями вычислительной, копировально-множительной и другой электронной оргтехники.При организации работ по обеспечению Компании телефонной и другой электронной связью Специалист обязан:- Оказание технической помощи и консультации филиалам Компании в организации связи.- Обеспечивать подключение телефонного оборудования конечным пользователям.",полная занятость,опыт работы от 3 лет,Программист 1С 8 с функциями it-специалиста,Опыт работы обязателен.Имеется сертификат специалиста или профессионала будет преимуществом• Высшее образование,60000₽,https://www.superjob.ru/vakansii/programmist-1s-8-s-funkciyami-it-specialista-30978120.html
118,"Тихвин, ул Ярослава Иванова, дом 1","Специалист IT, IT, Интернет, связь, телеком","Работа в офисе и с выездом к клиентамПрофессиональный рост. Опытные наставники обучат навыкам работы в системе ""1С: Предприятие"".Зарплата по результатам собеседования.","IT-компания производит набор сервисных специалистов по обслуживанию программного обеспечения ""1С: Предприятие""",полная занятость,опыт работы не требуется,"IT-специалист, специалист по обслуживанию программ 1С","Высшее или неоконченное высшее или среднее специальное образование по профилю: математика, информатика, программирование.• Среднее специальное образование",20000—70000₽,https://www.superjob.ru/vakansii/it-specialist-26083700.html
119,"Санкт-Петербург, поселок Парголово, Выборгское шоссе, д. 224 литер а","Системный администратор, IT, Интернет, связь, телеком","График работы 5/2;Заработная плата обсуждается на собеседовании;Доставка на место работы служебным транспортом;Оформление по ТК РФ, оплата больничного, отпуска;Испытательный срок 3 месяца;Дружный коллектив, организованное место для питания.","Анализ, выбор решения и внедрение новых технологий, серверного и сетевого оборудования и ИТ решений.Программирование и отладка программ и скриптов.Разработка инструкций, регламентов, технических заданий.Соблюдать ИТ регламенты, вести отчетность о выполненных работах и участвовать в ИТ проектах компании.Устанавливать и настраивать различное системное и прикладное ПО и обновления.Проводить диагностику и устранять неисправности в работе оборудования и программ.Устанавливать и настраивать серверное и сетевое оборудование, выполнять работы по СКС.Выезжать, при необходимости, в командировки.",полная занятость,опыт работы от 3 лет,Системный администратор отдела разработки ИТ-инфраструктуры,"Опыт работы системным администратором от 5 лет.Знать серверные и клиентские системы Windows, CentOS.Умение писать скрипты на PowerShell, Bash.Умение программировать на языках высокого уровня, например C++, PHP, Python.Умение настраивать резервное копирование, мониторинг, управление конфигурацией серверов, системы виртуализации, антивирусную защиту.Знать принципы работы базовых сервисов и технологий: DNS, DHCP, VPN, AD, GP, WSUS, RDP, DFS, FTP, SMTP, HTTP (S) и т.д.Работать с маршрутизаторами, коммутаторами и контроллерами WiFi: Cisco, Juniper, Netgear, Mikrotik.Администрировать БД MSSQL, MySQL, MariaDB, PostgreSQL. Составлять запросы к БД.Знать принципы работы ЛВС и сети Интернет.Уметь настраивать сетевые МФУ, системы контроля доступа и видеонаблюдения.Знать торговое оборудование (сканер ШК, Фискальный регистратор).Уметь настраивать системы банк-клиент, программы сдачи налоговой отчетности и работать с ЭЦП.Владеть навыками работы в MS Office и разбираться в различном офисном ПО.Технический английский для работы с документацией.Профильное высшее техническое образование.Быть коммуникабельным, самостоятельным, пунктуальным, инициативным, вежливым, ответственно подходить к выполнению поставленных задач.Выполнять правила трудового распорядка, иметь опрятный внешний вид, стремиться к получению новых знаний и навыков.• Высшее образование• Английский язык (технический)",90000₽,https://www.superjob.ru/vakansii/sistemnyj-administrator-otdela-razrabotki-it-infrastruktury-31616356.html
120,"Казань, пр-кт Ямашева, д. 46/33","Специалист IT, IT, Интернет, связь, телеком",Режим работы с 9:00 до 18:00Оформление в соответствии ТК РФ,"Обслуживание локальной сети, удаленных подключений к серверам, создание новых подключений, бесперебойная работа офисаОбслуживание и диагностика видеонаблюденияОбеспечение бесперебойной работы и координация подрядчиков по обслуживанию iiko, frontol, rkeeper и РМК. Координация ЦТО и/или системных администраторов в других городахПервоначальная обработка и перераспределение заявок среди подрядчиковМониторинг передачи данных в ОФДЗаказ видео и аудио оборудования и установка через подрядчиков на новые точки (проектная работа)Заказ кассового оборудования и установка через подрядчиков (если в Казани – самостоятельно) на новые точки (проектная работа)Организация подрядчиков по установке и запуску оборудования.",полная занятость,опыт работы от 3 лет,"Системный администратор, IT-специалист",Опыт аналогичной работы от 3-х лет.Знание аппаратной части ПК.Умение удаленно решать проблемы с оборудованием.,30000₽,https://www.superjob.ru/vakansii/sistemnyj-administrator-31658419.html
121,"Москва, ул. Плющиха, д. 14","Специалист IT, IT, Интернет, связь, телеком",,"• Администрирование серверов Windows Server 2008/2012;• Администрирование серверов Unix: CentOS, Ubuntu, FreeBSD;• Администрирование доменной инфраструктуры MS Active Directory;• Администрирование почтовой системы Zimbra;• Администрирование медицинских информационных систем;• Виртуализация: Hyper-V, VMware;• Администрирование антивирусной системой Kaspersky;• IP Телефония: Infinity (администрирование);• Мониторинг работы всех IT-сервисов;• Создание и управление учетными записями пользователей;• Поддержка пользователей.",,полная занятость,Системный администратор / IT-специалист,"• Знание ОС Windows Server;• Знание ОС Windows 7, MS Office на уровне администратора;• Знание ОС Linux, умение работать с командной строкой.• Опыт работы с Active Directory;• Опыт работы с IP-телефонией;• Опыт работы с системами виртуализации, понимание принципов их работы;• Знание компьютерных комплектующих и основных видов ИТ оборудования (принтеры, сканеры, МФУ, и пр.);• Знание сетевых технологий, протоколов и принципов работы сетей и сетевого оборудования;• Практические навыки по диагностике и устранению неисправностей в работе компьютерного оборудования и оргтехники;• Базовые знания MS SQL Server, умение писать простые SQL-запросы;• Хорошие коммуникативные навыки, умение общаться с коллегами;• Доброжелательность, вежливость, коммуникабельность, ответственность, системность в работе, дисциплинированность, стрессоустойчивость;• Опыт работы по поддержке пользователей, навыки сопровождения и развития информационных систем;• Умение работать быстро в стрессовых ситуациях и условиях многозадачности;• Опыт работы с системами обработки заявок (ServiceDesk, HelpDesk);• Опрятный внешний вид.• Высшее образование",45000₽,https://www.superjob.ru/vakansii/sistemnyj-administrator-31078759.html
122,Москва,"Аналитик бизнес процессов, IT, Интернет, связь, телеком","Офис м. Ленинский проспект.График работы с 7:00-9:00 до 16:00-18:00.Белая заработная плата.Оформление по ТК РФ.Испытательный срок 3 месяца.Заработная плата на испытательный срок 140 000 руб. (гросс), после испытательного срока 165 000 руб. (гросс).","В связи с расширением штата Департамента информационных технологий компания Очкарик ищет в свою команду 5 штатных единиц бизнес-аналитиков по автоматизации бизнес-процессов (строго с опытом работы в крупных оптово-розничных компаниях).Сбор, уяснение, проверка на полноту и анализ бизнес-требований заказчиков, определение потребности в автоматизации, ее выполнимости и достижимости желаемого результата, исключение противоречий и конфликтов в конфедеративных бизнес-процессах, формализация бизнес требований до функциональных и нефункциональных, согласование требований с заказчиками;Описание бизнес процессов предприятия, инициирование предложений по их оптимизации и автоматизации;Проработка и описание концепции новых продуктов начиная от идеи с нуля до детальной схемы;Участие в приемо-сдаточном тестировании (на уровне функционального тестирования) разрабатываемого ПО и организации ввода его в эксплуатацию;Фиксирование результатов работы в регламентированной проектной и технической документации компании;Поддержка и консультирование ключевых пользователей.",полная занятость,опыт работы от 3 лет,Бизнес-аналитик в Департамент ИТ (автоматизация бизнес-процессов),"Высшее образование (техническое/математическое/экономическое);Профильный опыт работы от 3 лет;Владение предметными областями: управленческий/бухгалтерский/налоговый учет, расчет заработной платы (хотя бы 2-мя из перечисленных);Уверенное владение бизнес процессами оптово-розничной и комиссионной торговли, складской логистики, закупок;Грамотная устная и письменная речь, навыки разработки проектной и рабочей документации;Бизнес-ориентированность, опыт работы как с Бизнес, так и ИТ-командой, возможность обсуждать вопросы с обеими сторонами на одном уровне, умение корректно фиксировать требования заказчика, определять границы задач, декомпозировать крупные задачи на «User stories»;Знания и навыки использования современных методов моделирования и описания бизнес-процессов в распространенных нотациях, с использованием автоматизированных инструментов;Опыт управления проектами по разработке и внедрению информационных систем в качестве бизнес-аналитика, менеджера/руководителя проекта – приветствуется;Обязательно наличие портфолио собственных разработок.• Высшее образование",121800—143550₽,https://www.superjob.ru/vakansii/biznes-analitik-v-departament-it-31307580.html
123,"Челябинск, ул. Гагарина, д. 38","Специалист IT, IT, Интернет, связь, телеком","Ведущая ИТ-аутсорсинговая компания города, 18 лет успешно работающая на рынке, организатор ежегодного Дня системного администратора в Челябинске, объявляет об открытии вакансии системного администратора.Работая в нашей команде, Вы получите не только неоценимый опыт профессиональной работы, но и грамотного руководителя, опытных коллег, возможность профессионального роста, а также безупречно в срок выплачиваемую зарплату и фирменную систему премирования.Мы профессионалы. Поэтому работаем только с предприятиями и используем только корпоративные решения.Вот список работ, которые мы уже выполнили: ts74.ru/promo/ourworks/Вместе с Вами мы реализуем еще более масштабные и современные проекты.Нам пригодятся Ваш энтузиазм, увлеченность и опыт.У Вас отличная теоретическая подготовка, но мало опыта? Мы дадим Вам возможность администрировать давно и стабильно работающие проекты.Вы выросли из системного администрирования? Поздравляем. Значит пора заняться аудитами и проектированием. Все это - рабочие будни аутсорсинговой компании.Мы любим стабильность. Поэтому применяем гарантированный оклад при расчете заработной платы. Мы уверены в себе и амбициозны. Поэтому даем возможность дополнительного заработка тем, кто умеет и любит много и эффективно работать.Официальное трудоустройство.Корпоративная банковская карта.Полноценный отпуск.Место работы: Гагарина, 38.И никаких ночных авралов и работ по выходным!Компания Техсервис расширяет штат специалистов.Приходите. Вам будет интересно!","Администрирование серверных операционных систем семейства Windows (2008, 2016) — AD, DNS, DHCP, GPO.Настройка антивирусной защиты предприятия.Сопровождение имеющегося и внедрение нового ПО.Настройка и контроль систем резервного копирования данных.Обеспечение защиты от несанкционированного доступа хранимой и передаваемой информации.Поддержка работоспособности сетевого и коммутационного оборудования.",полная занятость,опыт работы от 3 лет,"Системный администратор, IT-специалист","Высшее профессиональное (техническое) образование и опыт системного администрирования не менее 3 лет.Знание компьютерного железа, умение диагностировать неполадки в его работе.Коммуникабельность, трудолюбие, ответственность, желание повышать уровень знаний.Свободное чтение технической документации на английском языке.Выезды на серверные площадки наших клиентов в пределах города - часть рабочего функционала.• Высшее образование• Водительские права: B",25000—40000₽,https://www.superjob.ru/vakansii/sistemnyj-administrator-31657744.html
124,"Екатеринбург, ул. Окружная, д. 3, оф 202","Специалист IT, IT, Интернет, связь, телеком","Работа в крупной производственной компании (лидер в своем сегменте),Оформление в соответствие по ТК РФ,График работы 5/2 (9.30 до 18.15, пятница до 17.00)","Обработка поступающих заявок в системе ServiceDesk (2-я линия);Управление ИТ-инфраструктурой компании;Внедрение новых технологий, развитие сети компании;Автоматизация выполнения задач;Контроль работы серверов, СХД, виртуализации, СУБД, резервное копирование;Ведение документации;Командировки на предприятия компании;Взаимодействие с технической поддержкой вендоров.",полная занятость,опыт работы от 3 лет,Специалист по IT,"Знание в объёме MCSA (Server, DB);Знание Microsoft AD, Exchange, S4BЗнание СУБД (MS SQL, MySQL);Знание Linux/Unix (CentOS, FreeBSD) (MySQL (PXC), Apache, Nginx, HAProxy, ZFS, LVM)Знание VMware vSphere 6 (vDS, DRS, HA)Понимание принципов работы протоколов DHCP, DNS, LDAP, Kerberos, NTLM, ARP, RADIUS (802.1x), SNMP;Уверенные знания PowerShell, умение писать скрипты автоматизации;Опыт работы с СХД (SAS, iSCSI, LUN, Snapshot)Опыт работы с системами мониторинга Zabbix, SolarWinds Orion;Опыт работы от 3 лет в должности специалиста по инфраструктуре;Пунктуальность, аккуратность, самостоятельность, стрессоустойчивость, коммуникабельность.Будет плюсом:Опыт работы с Ansible, Chef, Puppet, Salt;Владение скриптовыми языками bash, perl;Опыт работы с PostgreSQLЗнание сетей на уровне Cisco CCNA• Высшее образование",80000₽,https://www.superjob.ru/vakansii/specialist-po-it-31232239.html
125,Москва,"Продажи, Менеджер по продажам","- оклад ОТ 50 000 + бонус за выполнение плана продаж. Средний уровень дохода 120 000 рублей- гибкий график работы- молодой коллектив, средний возраст 29 лет- работа в развивающейся IT компании с уникальным продуктом","- холодные звонки, привлечение клиентов (интернет магазины)- назначение и проведение встреч- презентация уникального IT сервиса для интернет магазинов- заключение договора",полная занятость,опыт работы от 1 года,Менеджер по продажам IT сервиса,- опыт работы с холодными звонками- опыт проведения встреч и презентаций- опыт продаж IT сервисов или банковских продуктов малому и среднему бизнесу приветствуется- грамотная речь- высшее образование- инициативность• Высшее образование,120000₽,https://www.superjob.ru/vakansii/menedzher-po-prodazham-it-servisa-31558833.html
126,Волжский,"Специалист IT, IT, Интернет, связь, телеком","График работы 5/2, с 08-00 до 16-30Дружелюбная молодая команда.Оформление согласно ТК РФ.Бесплатное питание.",Обслуживание орг. техникиУстановка и настройка программного обеспеченияПоддержка пользователейБлочный ремонт орг. техникиДиагностика неисправностей орг. техники и систем видеонаблюденияМонтаж сегментов ЛВСНастройка рабочих станций пользователей,полная занятость,опыт работы от 1 года,Специалист ИТ,"Образование - Профильное, высшееЗнание ПК (специализированных программ), отличное знание пользовательских ОС Windows NT,навык установки Windows «с нуля» и «поверх» существующей системы;Навыки работы с прикладными программами MS Office: Word, Excel, Outlook, PowerPoint",20000—26000₽,https://www.superjob.ru/vakansii/specialist-it-29817598.html
