,age,auto,experience_length,gender,salary,rus_citizenship,city_msk,city_spb,city_other,education_degree,full_employment,english_level,fullfillment,text
24,28,0,112,0,60000,1,1,0,0,2,0,0,944,"Инжиниринг Старший электромеханик связи Обслуживание устройств связи, выполнение графика тех. процесса, мониторинг работы аппаратуры связи, монтаж нового оборудования связи, пуско-наладочные работы, оперативное устранение неисправностей у абонентов телефонных сетей, SDH, WDM, сетей доступа, ВОСП. Работа с аппаратурой ООО ""Пульсар-Телеком"" - СМК-30, аппаратурой ""информтехника"" - DX-500, ""Ротек"" - T-130, ECI, SMS-150, ZTE.  Инженер IT Стремлюсь сменить специализацию и начать карьеру в сфере IT, для чего прошёл курсы Cisco и готов учиться дальше.  Всегда готов оперативно принять участие в устранении повреждений, как на нынешней работе - могут позвонить в любое время дня и ночи для консультации.  Проявляю инициативу - предлагаю решения по оптимизации использования оборудования связи, улучшению качества их работы.  Обладаю большим опытом по составлению тех. документации в MS Visio не только после завершения работ, но и для планирования предстоящих проектов.  "
25,45,0,182,0,65000,0,0,0,1,0,0,2,1928,"Инжиниринг Начальник ИТ-отдела • Общее руководство департаментом информационных технологий. • Постановка процессов внутри департамента и взаимодействие с другими подразделениями. • Контроль процесса разработки ПО внешними и внутренними подрядчиками. • Обеспечение бесперебойной и эффективной работы IT-инфраструктуры компании. • Эксплуатация текущих учетных систем. • Внедрение учетных и информационных систем. • Мониторинг и управление IT-ресурсами компании. Менеджер ИТ • Участие в разработке и внедрении с нуля при открытии нового гипермаркета «Magnum Cash&Carry». • Обеспечение бесперебойной работы ИТ-систем гипермаркета в режиме 24/7. • Базовый и детальный мониторинг состояния серверных систем. • Обеспечение защиты систем от несанкционированного доступа к информации, безопасности межсетевого взаимодействия. • Разработка и внедрение предложений по развитию инфраструктуры сети; подготовка проектной документации, сметы расходов на информационные системы и их функционирование. • Координирование действий сотрудников отдела информационных технологий. Ведущий специалист ИТ • Организация и обеспечение бесперебойного доступа сотрудников компании к ресурсам локальной и глобальной сети, регулярный мониторинг работы сетевого оборудования. • Организация технической поддержки пользователей. • Резервное копирование всей рабочей информации сотрудников компании. • Подготовка бюджета и текущих расходов отдела ИТ.  Инженер ИТ • Операционные системы: MS Windows (Internet Information Server, MS SQL Server, Exchange Server, MS Proxy Server, Microsoft VPN Server и пр.), Linux (proxy: squid-squidguard-sarg; mail:Postfix-Cyrus-Web-cyradm, Apache Web server, MySQL и пр.). • Система автоматизированного проектирования AutoDesk AutoCAD. • Система трёхмерного твердотельного и поверхностного параметрического проектирования AutoDesk Inventor. • Проектирование и монтаж СКС, ЭКС, СВН, СКД согласно ГОСТ, СНиП, ПУЭ. • Знание электротехники и электроники.  "
27,22,1,0,0,60000,1,0,0,1,3,0,4,22,Инжиниринг  Инженер ИТ Свободное владения пк  
29,37,1,121,0,115000,1,0,0,1,0,0,2,1827,"Инжиниринг Инженер IT Разработка программного обеспечения в среде Visual Studio (Visual Basik, C#); - проектирование систем видеонаблюдения - проектирование систем СКУД - поддержка систем мониторинга ZABBIX - проектирование серверных и скс - настройка широкого профиля сетевого оборудования (Cisco, Brocade, Ruckus, Avaya, HP, D-link, Ubiquity); - эксплуатация бесшовного WiFi; - проектирование систем видео конференций (BOSCH, AVAYA); - консультации пользователей информационных систем - установка и поддержка систем видеонаблюдения (MACROSCOP, ITV, Трассир) Координатор проектов 7 лет 10 месяцев Лобня, www.rolf.ru Координатор проектов WMS, Старший системный администратор Основные обязанности- внедрение, поддержка и развитие инфраструктуры WMS: - общение с разработчиками WMS по техническим вопросам (Английский язык); - помощь в разработке WMS (vb.net, MS SQL); - более 100 мобильных (ТСД) и стационарных рабочих мест - консультации пользователей по бизнес-процессам - разработка модели TO-BE бизнес процессов - разработка инструкций и прочей документации для конечных пользователей - тестирование новых релизов WMS; - устранение ошибок в базе данных MS SQL на низком уровне.; - подготовка срочных отчетов на основе нескольких источников и баз данных для ключевых пользователей.; - организация перехода с одной WMS на другую с учетом потребностей руководителей и персонала (AS-IS).; - поддержание серверов приложений в рабочем состоянии - резервирование баз данных WMS - разработка отчетов Crystal Reports. - интеграция WMS со СКУД - мониторинг ZABBIX Поддержка инфраструктуры WMS - функции инженера инфраструктурных проектов.; - проектирование и эксплуатация бесшовного WiFi; - серверная инфраструктура - система контроля и упраления доступом (СКУД Gate IP)  Инженер IT-отдела MS Visual Studio MS SQL AutoCad Macroscop Axxonsoft ITV Intellect Trassir  "
30,54,1,378,0,65000,1,1,0,0,0,1,0,1200,"Event, организация мероприятий Начальник управления 1. Организация и обслуживание сетей связи, IP телефонии в региональных офисах группы компаний ООО «Вижион Групп Рус» (международная компания Vision РФ, страны СНГ, Европы и Азии). 2. Работа с операторами связи Москва, регионы РФ и СНГ (договора, тех. поддержка), работа на рынке В2В (услуги связи и IT технологии). 3. Ответственный за электрохозяйство (удостоверение IV гр.) и пожарную безопасность в ООО «Вижион Групп Рус» (удостоверение ПБ). 4. Техническая организация и контроль проведения корпоративных мероприятий с 2002 г. (до 25000 чел.) компании Vision (обеспечение видео, свет, звук, интернет). Заместитель начальника отдела Инженер по самолетам и двигателям  Инженер по эксплуатации / Менеджер продаж и договоров в сфере IT / Менеджер Event услуг 1. Организация и обслуживание сетей связи, IP телефонии, организация Call Center РФ, СНГ, Европа и Азия. 2 Работа на рынке В2В, В2С услуг связи и IT технологий. 3. Менеджер на рынке EVENT услуг (техническая и административная организация мероприятий до 25000 чел РФ, Европа, Азия). 4. Ответственный за электрохозяйство (удостоверение IV гр.) и пожарную безопасность. 5. Служба в ВС РФ - подполковник запаса. Разработка новой авиационной техники, принятие ее на вооружение МО, расследование летных происшествий.  "
31,20,0,6,0,50000,1,1,0,0,2,0,1,362,"Аналитика IT-аналитик Следить за работой оборудования. Поиск оборудования и решений. Создания инструкций и регламентов. Обучение сотрудников. Заведение новых сотрудников в бд. Подготовка рабочих мест. Перестановка и настройка ПО.  IT-аналитик Знания в разработке систем на 1с. Владение Microsoft office. IDEF, UML, Моделирование бизнес процессов, Coreldraw, пользователь пк, ms visio.  "
32,33,1,158,0,100000,1,1,0,0,0,1,2,2837,"IT, Интернет, связь, телеком Руководитель IT отдела Управление отделом из 3-х человек: 1 человек - Системный администратор; 1 человек - Программист 1С; 1 человек - Администратор ИБ ИСУП ""Asystem""; В виду сокращения штата управляющей компанией перенял на себя обязанности системного администратора, администратора ИБ; Организовал перенос it - сервисов, в виду переезда управляющей компании из г. Москва в г. Чехов. Руководитель IT отдела Руководил отделом из 6-ти человек: 1 человек - Системный администратор; 1 человек - Помощник системного администратора; 1 человек - Инженер-электронщик; 1 человек - Программист 1С; 2- человека - Администраторы ИБ ИСУП ""Asystem"". Внедрение ИСУП ""Asystem""; Переход на систему ip видео наблюдения; Объединение филиалов компании из 7-ми сегментов по средствам OpenVpn; Создание кластера 1С для работы с распределенной БД. Старший системный администратор Организовал в компании единую площадку для хранения архивов БД компаний клиентов. Построил на платформе freebsd систему шлюзов для удаленного доступа по средствам OpenVpn к сетям заказчиков (для администрирования, проведения сетевых аудитов, регламентных работ и т.д.) Руководил отделом из 3-х человек: 2 человека -Системные администраторы; 1 человек - Программист 1С. Инженер связи Согласовал с гос структурами более 23-х новых узлов связи, подключил более 50 населенных пунктов к сети компании. Организовал на базе программно-аппаратного комплекса шифрованные туннели для гос. учреждений, банков с целью объединения разрозненных филиалов в единую сеть. Занимался развитием внутри сетевых сервисов для клиентов компании (игровые сервера, ip-tv). Настройка сетевого оборудования: cisco, linksys, moxa, nateks, microtik, zyxel, d-link,3-com, asus, модемы, роутеры, маршрутизаторы, программные шлюзы, радиорелейное оборудование. Системный администратор Начало карьеры: познакомился с администрирование ЛВС; серверов на платформах Microsoft Server, Linux, Freebsd; пользовательских рабочих станций Microsoft Windows, Mac OS; Microsoft Exchange Server, SQL, ISA, Terminal; ad, dhcp, dns, ftp, sft, voip, crm-системы; СКУД, 1C бухгалтерия, зарплата, УПП; Hepldesk; ИСУП ""Лим-Корпорация""  IT директор/IT руководитель/Старший IT специалист Администрирование серверов Microsoft Server, Linux, Freebsd; Поддержка ЛВС компании и удаленных филиалов, построение шифрованных туннелей как на базе программно-аппаратных средств так и по средствам привлечения сторонних компаний; Ведение групповых политик компании обеспечивающих безопасность доступа к данным, антивирусную защиту, защиту от несанкционированного доступа; Написание технической документации, регламентных операций, опыт работы с договорами, опыт работы по согласованию с гос. структурами построения информационных шлюзов, АТС и т.д; Опыт работы и программирование аналоговых, гибридных АТС, программных и аппаратных шлюзов IP-телефонии; Опыт руководства командой из 6-ти человек.  "
33,33,1,179,0,300000,1,0,0,1,3,0,2,2180,"IT, Интернет, связь, телеком Старший менеджер по ИТ • взаимодействие с контрагентами относящихся • участие в проектах компании • введение проектов компании • планирование и анализ работы • сопровождение пользователей • поддержка пользователей • подготовка и провидение выборов по выбору поставщиков • программирование в 1С в 7-8.3 • сопровождение и администрирование БД • сопровождение и администрирование серверов • планирование по предприятию • учет техники • настройка техники Ведущий инженер электроник • взаимодействие с контрагентами относящихся к ИТ • участие в проектах компании • планирование и анализ работы группы • сопровождение пользователей • поддержка пользователей 1С УПП в 8.1 • подготовка и провидение выборов по выбору ИТ поставщиков • программирование в 1С в 7-8.1 в областях: БУ, НУ, УУ • планирование по предприятию • учет техники • настройка техники Руководитель группы поддержки ИТ • взаимодействие с контрагентами относящихся к ИТ • участие в проектах компании • планирование и анализ работы группы • сопровождение пользователей • поддержка пользователей 1С УПП в 8.1 • подготовка и провидение выборов по выбору ИТ поставщиков • программирование в 1С в 7-8.1 в областях: БУ, НУ, УУ Ведущий системный администратор • администрирование • программирование в 1С в 7-8.1 в областях: БУ, НУ, УУ • подготовка и провидение выборов по выбору ИТ поставщиков • участие в проектах компании • сопровождение пользователей • поддержка пользователей 1С УПП в 8.1 Инженер-программист • программирование и администрирование в 1С в 7 в областях: БУ, НУ, УУ: • создание полного комплекса по учету угля (от добычи до отгрузки) • создание блока по учету спец. Одежды • модернизация учета товаров • поддержка пользователей • сопровождение пользователей  • техник по обслуживанию офисной техники  IT-директор Самостоятельное изучение 1Св7 (программирование и администрирование)  Компьютерные навыки: • знание программ 1С в 7 – 8.1 (Администрирование, программирование и методологическую поддержку) • знание общесистемного программного обеспечения (MS Office, OpenOffice, и.т.п) • изучение любых программ которые нужны в работе • знание языков программ Pascal, C++, Visual Basic, Assembler, и.т.д • Поддержка ИТ ресурсов.  "
34,44,1,289,0,350000,1,1,0,0,2,0,2,2510,"IT, Интернет, связь, телеком Программист 1С Выполнена разработка и программирование функций корпоративной информационной системы программы 1С:Рарус по требованиям бизнеса. Выполнены консультации и поддержка работы пользователей. Это привело к автоматизации работы отделов, к своевременному и качественному выполнению задач отделами компании. Выполнены улучшения сетевой инфраструктуры компании это позволило выполнять задачи отделами без перебоев. IT директор Реализованы ИТ-проекты по плану, что привело к развитию Компании IT директор Разработана и реализована IT стратегии компании в соответствии со стратегией развития бизнеса; Выполнено сопровождение, развитие, поддержка и обеспечение бесперебойной работы работы IT инфраструктуры компании; Осуществлено управление коллективом, в подчинении 6 человек; Выполнена оптимизация бизнес-процессов и информационных потоков, разработка технических заданий на автоматизацию процессов; Выполнено сопровождение, доработка, развитие и поддержка решений на 1С:8. Создан уникальный IT продукт. Обеспечено бесперебойное функционирование программного обеспечения Компании и её информационной безопасности; Выполнено планирование, оптимизация и исполнение IT-бюджета; Выполнено руководство внутренними IT-проектами компании.  Это позволило улучшить качество расчёта себестоимости, выполнить своевременную работу всех отделов, получить достоверную и оперативную информацию о дебиторской задолженности, выполнить работу ИТ в полном объёме в условиях экономии затрат. Программист 1С Выполнено развитие конфигураций для Бухгалтерии и Отдела кадров; Консультирование пользователей, проектирование, написание отчетов, обработок, запросов, модернизация не типовых конфигураций 1С 8.2. Обновление 1С. Это позволило выполнить Распоряжение Генерального директора о выплате з/п к 1 числу; проводить необходимые процедуры по з/п для персонала численностью несколько тысяч человек и в условиях ротации кадров несколько сотен человек в месяц. IT директор Руководство ИТ в торговых и производственных компаниях IT-администратор Техник-программист - ИТ-менеджер Несколько банков Подробное резюме по запросу.  IT директор Руководство коллективом. Ведение переговоров. Управление проектами. Организаторские навыки. Деловая коммуникация. Английский язык. 1С программирование. Системное мышление. Долгосрочное бюджетирование и планирование. Краткосрочное бюджетирование и планирование. Информационные технологии. Подготовка презентаций. Бизнес-планирование. Оптимизация бизнес-процессов. Бюджетирование. Информационная безопасность.  "
36,64,0,432,0,100000,1,1,0,0,6,1,2,2355,"IT, Интернет, связь, телеком Руководитель отдела разработки автоматизированных систем обучения Руководство (единственным производственным) отделом (15-17 сотрудников+ 5-7 совместителей, включая удалённых), реализация проектов для российских и иностранных заказчиков) в части разработки и поставки Учебных компьютерных классов, предназначенных для проведения предтренажерной теоретической подготовки лётного и инженерного состава. Учебные курсы представляют собой web-сайты. Для создания обучающих курсов используется уникальное технологическое пррограммное обеспечение, позволяющее значительно упростить генерацию итогового ПО и сократить время их создания и обновления/исправления. Кандидат технических наук (базы данных). Председатель НТС компании. Исполнительный директор / начальник отдела Исполнительный директор / начальник отдела общесистемного и специального программного обеспечения. Кандидат технических наук (базы данных). Главный конструктор нескольких работ (Руководитель проектов, Архитектор проектов), выполненных в интересах Министерства обороны. Руководство полным циклом разработки от постановок задач до государственных испытаний, сертификации готового продукта и сдачи в эксплуатацию. Непосредственное участие в разработке основных проектных решений, структуры базы данных, программой реализации, тестирования. Среда разработки - Windows /.Net / C# / Delphi / Interbase / ГИС Панорама, МСВС (Linux)/ Линтер ВС (Postgresql), С++QT (qt), PLSQL, php. Опыт разработки специализированных дистанционных учебных курсов (ДУК) на основе систем управления обучением IBM LMS и Moodle. Учебные курсы связаны с экспортно-ориентированной продукции военного и двойного назначения.  Примечание: просьба не звонить (пишите на почту). Для переговоров есть другой номер. Начальник отдела разработки общесистемного программного назначения Руководство и непосредственно участие в разработке компонентов отраслевой системы управления (в части территориально распределенной информационной системы в условиях больших баз данных), компонентов АСУ управлений МО РФ и Железнодорожных войск в части разработки системы передачи данных и построенной на ее основе системы контроля исполнения служебных документов и других подсистем, а также модули разграничения доступа и защиты данных.  ИТ-Директор / Заместитель генерального директора по направлению разработки информационных систем Кандидат технических наук (прикладная математика, техническая кибернетика) Компьютерные навыки: программист  "
37,40,1,218,0,170000,1,1,0,0,0,0,2,2296,"IT, Интернет, связь, телеком Руководитель отдела ИТ - организация работы отдела (6 человек), - создание и ведение технической документации, - составление инвестиционных планов на год (квартал), - администрирование локальной вычислительной сети (500+ пользователей), - проектирование работ по модернизации и расширению ЛВС, - ведение договорной работы с поставщиками услуг и оборудования, - разработка ТЗ и контроль выполнения при внедрении систем автоматизации бизнеса, - проведение тендеров и закупок оборудования и ПО. Начальник сектора технического обслуживания отдела ИТ Должностные обязанности: - организация работы сектора, - создание и ведение технической документации, - составление инвестиционных планов на год (квартал), - администрирование локальной вычислительной сети, - проектирование работ по модернизации и расширению ЛВС. Основные достижения: - успешно провел миграцию домена с NT 4.0 на Active Directory, - перевел почтовый сервис с Exchange 5.5 на Exchange 2003, - создал и опубликовал корпоративный веб-сайт, - произведена полная замена структурированной кабельной системы в офисе, - спроектирован, произведен монтаж и настройка ЛВС для удаленного офиса компании ООО ""Мется Тиссью"", - подключил удаленные офисы, - настроил сервис BlackBerry для менеджеров компании. Инженер сектора технического обслуживания отдела информационных систем Должностные обязанности: - администрирование локальной вычислительной сети, - проектирование и монтаж ЛВС, - монтаж серверных стоек и шкафов, - инвентаризация вычислительной техники, - работа с пользователями (техническая поддержка, обучение), - сопровождение оргтехники (копировальные аппараты, сетевые и персональные принтеры), - инвентаризация вычислительной техники, - составление заказов на расходные материалы на месяц. Основные достижения: - произвел полную инвентаризацию парка вычислительной техники с использованием собственной программы, - создал и успешно реализовал первую версию корпоративной политики информационной безопасности.  IT директор Легко нахожу ""общий язык"" как с руководителями любого ранга, так с пользователями и с персоналом отдела ИТ, которые больше привыкли общаться с ""железом"", чем с людьми. Умею мотивировать персонал не только материально. Основной целью ИТ отдела считаю повышение эффективности работы предприятия и оптимизация расходов на ИТ.  "
38,35,0,155,0,70000,1,1,0,0,0,0,1,1462,"Инжиниринг Инженер КМТ Техническое обслуживание и ремонт копировально-множительной техники и периферийных устройств ведущих мировых брендов Ricoh (сертификат), Kyocera (сертификат), администрирование системы карточного доступа MyQ, Streamline, SafeQ. Инженер по обслуживанию копировально-множительной техники Техническое обслуживание и ремонт копировально-множительной техники и периферийных устройств ведущих мировых брендов Ricoh, Xerox, Hewlett-Packard Инженер по обслуживанию копировально-множительной техники Техническое обслуживание и ремонт копировально-множительной техники и периферийных устройств ведущих мировых брендов Ricoh, Xerox, Hewlett-Packard Иженер службы технической поддержки Сбор, обработка, контроль выполнения заявок на IT-обслуживание; консультирование пользователей; развертывание и настройка рабочих станций для новых сотрудников. Инженер технической поддержки каналов связи и Internet Администрирование сети из 12 рабочих станций; сопровождение аппаратного и программного обеспечения телеграфного комплекса Альфа-Телекс; консультирование пользователей сети Internet по коммутируемым каналам связи и выделенным линиям; заключение договоров на возмездное оказание услуг связи Internet; выезд к пользователям для настройки ПО, обеспечивающего взаимодействие с сетью Internet.  IT инженер, инженер по оргтехнике, инженер по печатающей технике Знание операционных систем Windows, опыт построения и настройки проводных и беспроводных локальных сетей, знание компьютерного оборудования и КМТ, в том числе сегмента Pro  "
40,31,1,128,0,113000,1,1,0,0,2,1,0,8194,"Техническая поддержка Системный администратор Системный администратор Специалист технической поддержки с 14 сентября 2014 года по 15 сентября 2017 года Старший системный администратор с 15 сентября 2017 года до дня увольнения по собственному желанию. Сборка, отладка и ремонт компьютеров, устранение аппаратных, программных и сетевых неисправностей. Поддержание работоспособности компьютерной техники со своевременной закупкой и заменой морально и физически изношенных устройств. При необходимости, организация ремонта и контроль исполнительных работ. Проведение инвентаризации и модернизация используемого оборудования. Подготовка/настройка/установка всего оборудования необходимого для открытия магазина. Следование стандарту программного обеспечения, устанавливаемого на рабочие места конечных пользователей и приведение их к этому стандарту. Настройка складского торгового оборудования: принтеры этикеток, терминалы сбора данных; диагностика его неисправностей, организация ремонта. Настройка торгового оборудования в розничных точках: фискальные регистраторы, контрольно-кассовая техника, принтеры товарных чеков, сканнеры штрихкода, POS-терминалы (эквайринговый терминал); диагностика его неисправностей, организация ремонта. Cборка, настройка серверов, компьютеров и периферии: рабочих станций, серверных решений Microsoft Windows Server 2003R2/2008R2 (Active Directory, DNS, DHCP, WSUS, RemoteApp). Администрирование сервера корпоративного антивируса на базе Kaspersky Security Center 10; осуществление централизованного управления клиентами, в т.ч. удаленными, системы фильтрации Интернет-контента, учёта посещаемых пользователями Интернет-ресурсов и использования Интернет-траффика, разграничения доступа на базе Kerio Control Контроль за использованием программного обеспечения в рамках лицензионных соглашений с его производителем, выявление фактов использования пользователями контрафактного программного обеспечения и пресечение их. Контроль за функционированием систем видеонаблюдения на удаленных объектах, обеспечение их бесперебойной работы, в т.ч. периодический контроль за работой систем видеорегистрации и записи. Консультирование пользователей по проблемам, возникающим в процессе использования программного обеспечения и при работе с компьютером (Win7/Win8.1/Win10) и периферийным оборудованием. Поддержка пользователей (в т.ч. составление инструкций и доведение их до сведения пользователей.) по нетиповой конфигурации 1С 8 Торговля на основе данных полученных от штатного программиста 1С, постоянное консультирование новых сотрудников в связи с частым обновлением кадрового состава в розничной сети. По остальным конфигурациям только заведение пользователей/разграничение прав доступа в 1С 8 (ЗУП/УправлениеХолдингом/УРВ/Бухгалтерия/Торговля/УНФ) Понимание принципов ITIL/ITSM Формирование и ведение бюджета в ИТ отделе в рамках зоны ответственности ведения договоров. Своевременное выполнение монтажных работ (СКС, видеонаблюдение, СКУД) в необходимом объёме: 1.для открытия новых и закрытия старых розничных магазинов (коммуникационный шкаф, рабочие места, система видеонаблюдения, настройка фискальные регистраторы (ККТ ШТРИХ М-01ф), POS-терминалы) 2.для переезда офиса и склада, создание СКС ""с нуля"", монтаж/настройка оборудования (коммуникационные стойки, рабочие места, система видеонаблюдения, СКУД) 3. для переноса критически важного оборудования в Дата-центр Взаимодействие с компаниями, предоставляющими услуги передачи данных, в том числе голосовой связи по протоколам VoIP; с поставщиками компьютеров, периферийного, торгового оборудования и расходных материалов для оргтехники с правом подписи на первичных документах и своевременной сдачи их в бухгалтерию. Контроль и поддержание рабочего состояния программного обеспечения серверного оборудования, персональных компьютеров пользователей, подключенных и неподключенных к сети, мобильных средств связи, принтеров, факсов, реализация профилактических мер, в том числе на удаленных от центрального офиса магазинах. (40 розничных магазинов, централизованный склад). Ведущий специалист отдела АСУ Должностные обязанности: • Приём заявок, распределение их между сотрудниками отдела, решение поставленных задач через систему электронного документооборота IDOC от сотрудников компании (180 человек в т.ч. филиал в г. Челябинск, представительство в г. Выкса). • Техническая поддержка и обучение пользователей (чтение вводного курса новым сотрудникам), написание внутренних регламентов для отдела АСУ и инструкций для пользователей. • Установка, настройка и поддержка рабочих мест (XP/Windows7, пакет MS Office 2007/2010/2013, IE, Adobe Reader, Foxit reader, ABBYY Fine Reader 11, IrfanView,7-zip, Pandion, Symantec Endpoint Protection 12.1.4, Kaspersky endpoint security 10, 1С 8.2; банк-клиенты: Банк Москвы, АБ Россия, Альфа-Банк, Газпромбанк; специальное ПО для ж/д отрасли АСУ ТК, АС ЭТРАН, САО ГВЦ,), а также корпоративной почты на мобильных устройствах, в т.ч. Apple. • Заведение сотрудников в AD (сброс пароля/перемещение), Pandion (корпоративная ICQ), присвоение номеров на АТС Ericsson BusinessPhone 250, контроль членства в группах (в т.ч. перехвата на АТС), разграничение прав доступа на МФУ и принтеры. • Перекоммутация портов (LAN, Tel) в серверных комнатах и шкафах при перемещении рабочих мест. Контроль актуальности схемы коммутации портов. • Подготовка рабочих мест и оборудования в переговорной комнате (совещания, аудиторские/налоговые проверки). • Инвентаризация техники (наклейка бухгалтерских номеров, а также внутренних уникальных идентификаторов отдела АСУ), ведение справочника оборудования, закрепленного за пользователем (с характеристиками оборудования, серийным номером и историей перемещений) в т.ч. с использованием Total Network Inventory. • Ввод в эксплуатацию (в т.ч. резервирование IP-адреса), поддержка принтеров и МФУ (Ricoh Aficio MP 171/201, Kyocera FS-3140-1035-4020). • Организация договорной работы с поставщиками (закупка техники /оплата ежемесячных услуг) в рамках зоны ответственности (оргтехника/сервисные договора/договора по связи) • Составление/ведение бюджета в рамках вверенных договоров. Инженер департамента информационных технологий Должностные обязанности: • Выполнение инженерных работ в data-центрах: М1 (перевозка серверного оборудования для Schlumberger), МТС (монтаж стоек, установка серверного оборудования), ММТС-9, Синтерра, Славянский (расшивка/монтаж патч-панелей между коммутационными стойками для RUtube) • Техническая поддержка пользователей компании (140 человек), а также периодические выезды к постоянным внешним клиентам (4-5 компаний, удаленная поддержка + плановый выезд несколько раз в месяц), в т.ч. организация/монтаж/ввод в эксплуатацию СКС (в т.ч. электрика) при переезде в новый офис. • Техническая поддержка сотрудников ОАО «ГМК «Норильский-Никель» (700-1000 человек) в качестве подменного инженера управления информационных технологий и связи, на время отпуска/отсутствия постоянных сотрудников. Работа в HP OpenView Service Desk версии 4.5. по решению поступающих заявок от диспетчера, с почтовым клиентом Lotus Notes, антивирусными системами MCAfee, утилитами Dr.Web CureIt, поддержка МФУ и принтеров (замена тонера, устранение замятий, смазка роликов, передача оборудование в ремонт сервисному инженеру), установка/перемещение рабочих мест, взаимодействие со складом АХО (ведение деловой переписки, приём/сдача оборудования), внесение изменений в справочник лицензируемого ПО и техники закрепленной за сотрудниками компании. • Осмотр объекта под СКС, анализ технического задания и составление спецификации, монтаж и сдача СКС в эксплуатацию для ЗАО «Банк Русский Стандарт», Ferplast, «Ультра Фиш». • Сборка ПК, в т.ч. серверов (HP, SUN). Достижения: • Самостоятельно изучил и внедрил систему учёта рабочего времени в компании ООО «Радиус-ВИП» на базе ПО Интелект и оборудования Bolid.  IT-инженер, ИТ-инженер, Системный администратор, IT-специалист, ИТ-специалист, Инженер технической поддержки ДОПОЛНИТЕЛЬНЫЕ СВЕДЕНИЯ: • Английский – разговорный. • Умею правильно расставлять приоритеты, справляюсь с большим объемом работ и просчитываю ситуацию на несколько шагов вперед. • Организован, ответственен и пунктуален. • Хорошие коммуникативные навыки, умение работать в команде. • Без вредных привычек. • Занимаюсь физической культурой. • Люблю бывать в театре.  "
